time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-08T22:36:17.000Z,32.818754045292735,-117.23529433831573,679.469970703125,"
                ",22:36:17.000Z,57.26995849609375,3,42.70429905192057
2021-05-08T22:36:20.000Z,32.819130811840296,-117.23489385098219,735.6099853515625,"
                ",22:36:20.000Z,56.1400146484375,3,41.86173758951823
2021-05-08T22:36:23.000Z,32.819506991654634,-117.2344979736954,791.4199829101562,81,22:36:23.000Z,55.80999755859375,3,41.61565484619141
2021-05-08T22:36:26.000Z,32.819890044629574,-117.23412380553782,846.5,84,22:36:26.000Z,55.08001708984375,3,41.07133274332682
2021-05-08T22:36:27.000Z,32.82002968713641,-117.23401509225368,865.02001953125,85,22:36:27.000Z,18.52001953125,1,41.429283691406255
2021-05-08T22:36:28.000Z,32.820179387927055,-117.23392222076654,883.75,88,22:36:28.000Z,18.72998046875,1,41.89896630859375
2021-05-08T22:36:29.000Z,32.820337722077966,-117.2338483761996,902.6099853515625,88,22:36:29.000Z,18.8599853515625,1,42.189787231445315
2021-05-08T22:36:31.000Z,32.82066838815808,-117.23375567235053,940.3200073242188,93,22:36:31.000Z,37.71002197265625,2,42.17865957641602
2021-05-08T22:36:33.000Z,32.82099989242852,-117.23374167457223,977.1300048828125,93,22:36:33.000Z,36.80999755859375,2,41.17198226928711
2021-05-08T22:36:35.000Z,32.8213220089674,-117.23379833623767,1013.260009765625,95,22:36:35.000Z,36.1300048828125,2,40.41141046142578
2021-05-08T22:36:37.000Z,32.82162501476705,-117.2339379787445,1049.3399658203125,95,22:36:37.000Z,36.0799560546875,2,40.35543084716797
2021-05-08T22:36:40.000Z,32.82207017764449,-117.23425992764533,1107.22998046875,96,22:36:40.000Z,57.8900146484375,3,43.1666542561849
2021-05-08T22:36:41.000Z,32.82222490757704,-117.23437987267971,1127.739990234375,93,22:36:41.000Z,20.510009765625,1,45.880891845703125
2021-05-08T22:36:44.000Z,32.822661604732275,-117.23472679965198,1186.0400390625,95,22:36:44.000Z,58.300048828125,3,43.47240307617188
2021-05-08T22:36:47.000Z,32.82307994551957,-117.23505796864629,1241.8399658203125,97,22:36:47.000Z,55.7999267578125,3,41.60814538574219
2021-05-08T22:36:50.000Z,32.823501136153936,-117.23539827391505,1298.3900146484375,95,22:36:50.000Z,56.550048828125,3,42.167486409505216
2021-05-08T22:36:53.000Z,32.823941353708506,-117.23575115203857,1357.3199462890625,94,22:36:53.000Z,58.929931640625,3,43.942085693359374
2021-05-08T22:36:56.000Z,32.82436673529446,-117.23611894994974,1415.760009765625,93,22:36:56.000Z,58.4400634765625,3,43.57680733235677
2021-05-08T22:36:59.000Z,32.824733946472406,-117.23652119748294,1471.239990234375,93,22:36:59.000Z,55.47998046875,3,41.36957210286459
2021-05-08T22:37:00.000Z,32.8248481079936,-117.2366584930569,1489.2900390625,89,22:37:00.000Z,18.050048828125,1,40.37795922851563
2021-05-08T22:37:03.000Z,32.8251641895622,-117.23711061291397,1544.27001953125,91,22:37:03.000Z,54.97998046875,3,40.996738769531255
2021-05-08T22:37:05.000Z,32.82535186037421,-117.23743641749024,1581.199951171875,87,22:37:05.000Z,36.929931640625,2,41.30612854003906
2021-05-08T22:37:06.000Z,32.825432075187564,-117.2376030497253,1599.1600341796875,90,22:37:06.000Z,17.9600830078125,1,40.17670568847657
2021-05-08T22:37:07.000Z,32.82550700940192,-117.23777052015066,1616.9100341796875,94,22:37:07.000Z,17.75,1,39.70675
2021-05-08T22:37:09.000Z,32.82565210014582,-117.23812314681709,1653.6400146484375,97,22:37:09.000Z,36.72998046875,2,41.082483154296874
2021-05-08T22:37:11.000Z,32.82579878345132,-117.23850879818201,1693.25,101,22:37:11.000Z,39.6099853515625,2,44.30376861572266
2021-05-08T22:37:14.000Z,32.82603062689304,-117.23909854888916,1754.1600341796875,100,22:37:14.000Z,60.9100341796875,3,45.418582153320315
2021-05-08T22:37:17.000Z,32.826248137280345,-117.23962979391217,1809.449951171875,99,22:37:17.000Z,55.2899169921875,3,41.22784810384115
2021-05-08T22:37:19.000Z,32.82638031989336,-117.23994017578661,1842.0,106,22:37:19.000Z,32.550048828125,2,36.407229614257815
2021-05-08T22:37:23.000Z,32.82663445919752,-117.24050972610712,1902.3299560546875,109,22:37:23.000Z,60.3299560546875,4,33.739527923583985
2021-05-08T22:37:24.000Z,32.82670478336513,-117.24065875634551,1918.2900390625,112,22:37:24.000Z,15.9600830078125,1,35.70270568847656
2021-05-08T22:37:25.000Z,32.82679036259651,-117.2408040985465,1934.8699951171875,116,22:37:25.000Z,16.5799560546875,1,37.08936169433594
2021-05-08T22:37:28.000Z,32.82709370367229,-117.24122017621994,1986.3599853515625,117,22:37:28.000Z,51.489990234375,3,38.394369384765625
2021-05-08T22:37:31.000Z,32.82747449353337,-117.24156777374446,2039.699951171875,122,22:37:31.000Z,53.3399658203125,3,39.77383451334635
2021-05-08T22:37:34.000Z,32.827891828492284,-117.24189097993076,2095.030029296875,124,22:37:34.000Z,55.330078125,3,41.257794921875
2021-05-08T22:37:37.000Z,32.82831779681146,-117.24220437929034,2150.639892578125,125,22:37:37.000Z,55.60986328125,3,41.46642138671875
2021-05-08T22:37:40.000Z,32.82870277762413,-117.24256136454642,2204.909912109375,"
                ",22:37:40.000Z,54.27001953125,3,40.46734456380209
2021-05-08T22:37:43.000Z,32.82902925275266,-117.24299437366426,2259.2900390625,112,22:37:43.000Z,54.380126953125,3,40.54944799804688
2021-05-08T22:37:44.000Z,32.829120280221105,-117.24314742721617,2276.820068359375,112,22:37:44.000Z,17.530029296875,1,39.21467553710938
2021-05-08T22:37:47.000Z,32.82936092466116,-117.24362553097308,2328.93994140625,111,22:37:47.000Z,52.119873046875,3,38.86405200195313
